Title,Date,URL,Content,Category,Sentiment,full_text,model_output,tag,sentiment
UN Secretary-General concludes visit to PNG,05/09/2025,https://tvwan.com.pg/news/5943,,,,"The United Nations Secretary General Antonio Guterres concluded his five days official visit to Papua New Guinea with a joint a press conference with Prime Minister James Marape before his departure this afternoon, Friday 5 September, 2025.
Reflecting on the visit, he acknowledged the very remote locations of the country where majority of the population in Papua New Guinea live but appreciated the strength and unity demonstrated by the people.
“I want to pay tribute to Papua New Guinea with more than 800 languages located in very remote parts of the country, and most challenging, but PNG is a country with 50 years of uninterrupted democracy. And they had the opportunity to pay tribute to the father of the country and in the world where we see democracy values being put into question by countries with much less problems than PNG, I must day that we should all be grateful for this remarkable example,” said Secretary-Genera Guterres.
Prime Minster Marape thanked the UN Secretary-General for his visit in the face of its own eight 8 years anniversary of PNG’s United Nations later this month for which preparations are running.
PM Marape acknowledged that Secretary-General Guterres was not only in Port Moresby, but he also went out of Port Moresby to visit other parts of the country, starting with a courtesy visit to the final resting place of the late founding father of the nation, Late Great Grand Chief Sir Michael Somare at the Somare residence at Kreer Heights, Wewak.
Later he continued his visit to rural Nuku in West Sepik province, representing the 85% of the who are still living in rural pockets of the country.
Prime Minister Marape acknowledged the warm welcome extended to the Secretary-General by the people while also appreciating the secretary general for breaking protocol to reach out, touching the youths, women and children in the community.
At Nuku, after opening the service centre at the district office, he flew to Mt. Hagen where he was given a warm reception by the Governor for Western Highlands and his people. He worked into the night meeting beneficiaries of different UN programs that are running.
“I want to thank you on behalf of my 10million plus people for you to come and share your time with us. You have certainly inspired us to live again as far as working to leave no child behind and to place on record our great appreciation for your vision and for your anchoring of UN-PNG partnership.” PM Marape said.","International, Trust",International,Trust
European Commissioner to visit PNG,03/09/2025,https://tvwan.com.pg/news/5908,,,,"From September 5 to 12, European Commissioner for International Partnerships Jozef Síkela will visit Papua New Guinea, Fiji and Vanuatu in September.
The purpose of the visit is to deepen the EU-Pacific partnership and scale up Global Gateway, the EU's investment strategy to boost jobs and sustainable economic growth.
During his visit, the Commissioner will participate in the first-ever EU-Pacific Business Forum held in Nadi, Fiji on 4-5 September.  In Papua New Guinea, the visit will also serve to celebrate the country’s 50th anniversary of independence.
Commissioner Síkela commented: “The Pacific region is an important partner for the European Union, and I look forward to my visit as an opportunity to strengthen our lasting political and economic ties. Our partnership helps us advance shared priorities - resilience to climate change and sustainable economic growth - ultimately improving the quality of life for people in both regions. The EU’s Global Gateway investment strategy and the first-ever EUPacific Business Forum will help turn those priorities into action.”
The visit will focus on the main Global Gateway areas in the Pacific: resilience to climate change and digital connectivity, mobilising sustainable investments in quality infrastructure. In addition to hard infrastructure – building ports or hydropower plants, the EU also invests in soft infrastructure, such as skill development, capacity building, and regulatory support, to add value on the ground.
During his tour, the Commissioner will sign several bilateral and regional agreements, meet high-level government representatives, and visit EU-funded projects, such as two schools in Vanuatu affected by the earthquake that will be reconstructed and upgraded to serve as emergency shelters for the wider population during natural disasters.
The EU-Pacific Business Forum will be one of the highlights of the visit. This first-of-its-kind event in the region will bring together high-level EU and Pacific policymakers, private sector leaders, investors, and development partners to unlock trade and investment opportunities, showcase concrete projects, and build lasting business partnerships.","Business, Anticipation",Business,Anticipation
Historic Visit of the UN Secretary-General to PNG Date,03/09/2025,https://tvwan.com.pg/news/5900,,,,"The Secretary-General of the United Nations, His Excellency António Guterres, arrived in Papua New Guinea for his official fpur-day visit.
This marks a historic occasion, as it is the first time a sitting UN Secretary-General has visited the country since it joined the UN in 1975.
His visit serves as a strong commitment from the United Nations to continue its presence in PNG and deliver on its humanitarian agendas.
The Secretary-General addressed the media yesterday evening, revealing that his visit is one of solidarity, intended to enhance PNG's position as a member of the UN, alongside other Pacific Island countries.
He stated that since PNG was admitted as a member of the UN in October 1975, the organization has been a close partner in supporting PNG's development in accordance with its national agendas.
He highlighted the Bougainville Peace Agreement process as one of the key areas where the UN is assisting the PNG government throughout its journey.
""The United Nations has walked with you on this journey, from weapons disposal to the 2019 referendum, and will continue to stand beside you as the next phase begins.
""I salute the people of Bougainville as they prepare to cast their votes in the fifth autonomous election since the agreement and wish them a safe and rewarding polling day.""
He also welcomed the adoption of the National Prevention Strategy on Violence, calling it an important and key strategy for the future that supports a free and safe environment for everyone to live in.
""I will have the opportunity to witness this work firsthand around the country, where the United Nations is honored to support your efforts. We work extensively with young people who make up a full 60% of Papua New Guinea's population and are one of the nation's greatest assets. We must ensure that they have the opportunities they need to thrive.""","Politics, Trust",Politics,Trust
2025 LLG elections on schedule,02/09/2025,https://tvwan.com.pg/news/5892,,,,"Minister for Provincial and Local Level Government Affairs  Soroi Eoe has confirmed that the 2025 Local Level Government elections will proceed as scheduled.
He emphasized the significant financial investment the government has already made in preparation for the elections, highlighting that postponing them would not be prudent.
“We have spent so much to conduct these elections and (it) wouldn’t be fare for the government to defer it again,” he said. “Our LLG reps are very important to us and we will do everything to make sure we conduct these elections.”
Eoe’s strong stance suggests an urgency to move forward and ensure that local governments, which are vital for addressing community needs, are properly elected and functional.
The confirmation also reflects the government’s intention to reinforce democratic processes at the grassroots level, despite any challenges or uncertainties that may exist.
By expressing the importance of not deferring the elections, Eoe reassured all citizens that the government is dedicated to maintaining a stable political environment and promoting local governance.","Politics, Trust",Politics,Trust
Porgera MP asks for CDA update,02/09/2025,https://tvwan.com.pg/news/5891,,,,"Newly elected MP for Porgera-Paiela, Gideon Maso Karipe, in his inaugural speech in Parliament today, made a heartfelt tribute to his late father, reflecting on the importance of family support in his political journey.
Expressing gratitude to his mother for her unwavering encouragement throughout the election process and his life, Karipe emphasized the personal sacrifices and dedication that come with public service.
Karipe’s first question was directed toward the Minister for Mining, Rainbo Paita, focusing on the Community Development Agreement (CDA).
His inquiry highlighted the pressing need for clarity and updates on this crucial agreement, which seeks to ensure that local communities benefit from mining activities in the district.
The mining minister confirmed that the CDA is ready and will be presented to the National Executive Council for Cabinet approval and endorsement.
The CDA is pivotal for promoting sustainable development and addressing the social and economic needs of communities affected by mining operations.
Karipe’s focus on the CDA reflected broader themes of accountability and responsible governance, important to both the community and the country as a whole.","Politics, Trust",Politics,Trust
Bird is People’s Reform Party Leader,31/08/2025,https://tvwan.com.pg/news/5861,,,,"Provincial Member for East Sepik, Allen Bird, has joined the People's Reform Party (PRP) and is the new party leader. He takes over the leadership from North Fly MP James Donald.
This announcement was made today in Port Moresby in the presence of coalition partner, the PNG National Party, led by Member for Sinasina-Yongomugl, Kerenga Kua.
Bird will now lead the 3-men Party into the 2027 national general elections. The other two members are former party leader, Donald, and member for Middle Fly, Maso Hewabi.
Bird was formerly aligned with the National Alliance Party. He resigned from the party in September 2022 and remained an Independent MP.
When formally taking over the responsibility, Bird spoke highly of the party polices that had lured him to join.  He also highlighted some of the reasons why he joined the PRP.
Bird said, “I wanted to join the party that has young leaders and strong leadership that will stay in the fight. For me, it's a good fight for the country.”
Bird further said ""All political parties are telling you the sweet things that you want to hear, but the reality around the country is not what they are saying. Someone needs to tell you hard things that you don't want to hear, and that's what this team will do.”
“On of the things this party is going to do with its coalition is that we are going to be honest with you. We are also going to ensure things are done fairly.”
Bird commended North Fly MP Donald for his selfless act noting that this rarely happens in PNG politics as leaders fight to remain in power. He said this indicates the maturity in him and reflects the party’s commitment to the country.
Donald relegated the party leadership with a lot of anticipation for the future. He said the decision was done by Party executive six months ago and is grateful Bird accepted the offer and joined them.
People Reform Party was found in 2021. It went into election in 2022 endorsing over 10 candidates but having won only one seat, the North Fly Open.","Politics, Anticipation",Politics,Anticipation
NZ Prime Minister addresses Parliament,05/08/2025,https://tvwan.com.pg/news/5524,,,,"New Zealand Prime Minister Christopher Luxon has addressed the National Parliament this morning, August 5, 2025, during his official three-day visit to Papua New Guinea.
In his address, PM Luxon emphasized strengthening bilateral ties and partnerships between the two countries, marking the 50th anniversary of Papua New Guinea's independence and 50 years of diplomatic relations between the nations.
“We can work more closely together on regional and global issues. At the time of turbulence, it is up to us to create and defend the region that we want and to influence the world that we want to live in.”
Mr Luxon stated that New Zealand and PNG forged bilateral ties 50 years ago.
“I hope for the next 50 years, when my successor comes, for the sentinel celebrations, he/she will be able to look back at our partnership that has continued to go beyond the handshake and envision to continue each other’s success.
“Ultimately, the strength of our partnership lies not only in governance, but with the people and it has strengthened and forged a strong relationship between our countries.”
The Prime Minister reiterated that New Zealand has committed to continue work with PNG on shared beliefs to create a brighter future for both countries.
The visit included bilateral discussions on trade, climate resilience, labor mobility, infrastructure development, and regional security.
Luxon's visit also highlighted New Zealand's longstanding support for PNG since its independence, especially in areas such as education, development assistance, and peacebuilding efforts, notably in Bougainville.
The visit aimed to deepen people-to-people links, government partnerships, and economic collaboration, reflecting a commitment to advancing regional solidarity and cooperation in the Pacific over the next 50 years.","Politics, Trust",Politics,Trust
Speaker welcomes NZ PM to Parliament,05/08/2025,https://tvwan.com.pg/news/5523,,,,"National Parliament Speaker Job Pomat welcomed New Zealand Prime Minister Christopher Luxon to the people’s House this morning. Luxon’s visit is notable as he is the first Prime Minister of New Zealand to address a Papua New Guinea Parliament, making this a significant occasion in the diplomatic relationship between the two nations.
He also becomes the second prime minister, after Australian prime minister Anthony Albanese, to speak to parliament, highlighting the importance of regional cooperation and dialogue. The address is expected to foster stronger ties and collaboration between New Zealand and Papua New Guinea.","Politics, Trust",Politics,Trust
Tomuriesa remains Leader of the Opposition,30/07/2025,https://tvwan.com.pg/news/5453,,,,"Member for Kiriwina-Goodenough, Douglas Tomuriesa, is still the leader of the Opposition.
Speaker Job Pomat confirmed this in Parliament today.
He also announced that Member for North Fly, James Donald has been appointed as the new deputy leader of the Opposition, replacing Member for Chuave James Nomane.
Nomane's replacement is indicative of restructuring within the Opposition, reflects the political maneuvering and negotiations that often occur within party politics.
Pomat's announcement highlights ongoing changes within the opposition ranks, which can have implications for governance, legislative processes, and party dynamics.
Tomuriesa will continue to lead the opposition party, which plays a crucial role in holding the government accountable and providing alternative policies and perspectives on national issues.
Meanwhile, Donald's appointment signifies a shift in leadership to bring new strategies and approaches to the opposition's operations.
This transition is likely to impact the Opposition's effectiveness in Parliament and how they engage with the ruling government and their agendas moving forward.","Politics, Trust",Politics,Trust
Miringtoro sworn-in to Parliament,29/07/2025,https://tvwan.com.pg/news/5434,,,,"The National Parliament session resumed this afternoon at 2.30.
The resumption marks a  significant moment with the swearing-in of Jimmy Miringtoro as the Member-elect for Central Bougainville.
This event not only adds to the representation of Bougainville in the legislature but also highlights the evolving political landscape in Papua New Guinea.
Miringtoro’s swearing-in is a crucial step for his constituents, as he will now have the opportunity to advocate for issues affecting Central Bougainville.
His role will involve addressing local needs, contributing to national policies, and engaging with fellow lawmakers on various legislative matters.
Miringtoro was elected by his people after the passing of late Fr Simon Dumarinu.","Politics, Trust",Politics,Trust
"Parliament resumes Tuesday, July 29",28/07/2025,https://tvwan.com.pg/news/5409,,,,"Parliament will resume tomorrow, Tuesday, July 29, 2025, at 2 PM.
Prime Minister James Marape, in a recent statement, said one of the focuses of this session of Parliament is to review the Sorcery Accusation-Related Violence laws and to increase penalties for those involved.
This session will also likely cover various important legislative matters and discussions relevant to the ongoing governance and development of the nation.
Stakeholders and citizens will be attentive to the proceedings as lawmakers engage in debates and propose initiatives that could impact various sectors.","Politics, Anticipation",Politics,Anticipation
GG Visits German Institutions,20/07/2025,https://tvwan.com.pg/news/5313,,,,"Papua New Guinea’s Governor General, Grand Chief Sir Bob Dadae, has made an official visit to two of Germany’s key historical and cultural institutions: the Ethnological Museum within the Humboldt Forum and the German Federal Archives (Bundesarchiv).
During the tour of the Ethnological Museum, Sir Bob was shown a vast collection of artefacts originating from various regions of Papua New Guinea, including Sepik River, New Ireland, Morobe, Gulf, and East New Britain. The artefacts — dating back to the 18th and 19th centuries — include carved masks, tapa cloth, traditional weapons, and wooden bowls that reflect the nation’s rich cultural diversity.
Museum Deputy Director, Prof. Dr. Alexis von Poser, also highlighted digital recordings of PNG’s traditional music and cultural performances currently preserved by the museum.
In a separate visit to the Federal Archives, the Governor General viewed early German colonial records of land occupation and registration in former German New Guinea territories, particularly in parts of Madang and East New Britain.
The Archives, led by President Prof. Michael Hollmann, has embraced digital technology to make its colonial records more accessible globally.
Discussions are currently underway between the PNG Lands Commission and the Bundesarchiv to trace and identify historical records of land ownership from the colonial period. The initiative could support PNG’s land administration and cultural preservation efforts.
Sir Bob’s visit underscores the growing partnership between PNG and Germany in preserving and understanding shared histories — a step toward reclaiming and recognizing the legacies of PNG’s colonial past.","International, Trust",International,Trust
Voters welcome MKA election,17/07/2025,https://tvwan.com.pg/news/5273,,,,"The one-day polling for the Motu Koita Assembly (MKA) elections took place today, after being deferred due to logistical requirements. Voting was underway for 14 wards to elect a new MKA Chairman, 17 ward councilors and a women’s representative. Polling in Tatana and Hanuabada got off to a good start this morning.
After the two-year deferral of the MKA elections, members of the Poreporena Lahara community are relieved the election is taking place.
“I want to see change in this village, we need improvement in water, electricity and sewerage and we need someone to make these changes,” said Dika Tau Sampson.
“It is very important to vote because this is a democratic country, everybody has the right to choose their leader,” said Mase Eno Kohu.
Youth in the village feel a lot of the effects of lack of services in the MKA villages. Dulos Bari Tau believes his vote will bring difference to the lives of men, women and children in his community.
“I’m glad we finally have this election because we have been suffering from lack of resource management. Hopefully the new members will help us with the small issues in the village. I am positive with who I voted, and believe he will bring change into the community,” Tau said.
Hane Sereva called on her people to vote wisely.
“We have been waiting for this time. I believe and trust (in) the person I voted for. He will bring change. So, I am appealing to people of Poreporena Lahara, please choose the right person to look after us.”
Presiding Officer for Poreporena Lahara Idau Reva, said polling in the area was running smoothly since midday.
“So far, we have 540 voters in this clan and I think we are 1/3 now, roughly 186 right now that have already voted. I think everything is running smoothly, but I'm running out of bedtime, so I have to, you know, make it before six o'clock,” Reva said.
She said by midday 400 voters of the Apau Vahoi clans of Poreporena Lahara ward had yet to vote before she would be done for the day.","Politics, Anticipation",Politics,Anticipation
