Title,Date,URL,Source,Category,Sentiment,People,Content
Biliau Primary School commended,14/11/2025,https://tvwan.com.pg/news/6848,TVWAN,Education,Joy,Ramsey Pariwa,"The Board of Management and the teaching staff of Biliau primary school in the Raicoast district of Madang province have been applauded for their efforts, leading to the completion of an impressive double classroom project within schedule and budget.
Governor for Madang, Ramsey Pariwa, praised the school during the official opening of the new learning facility which was funded by the Madang Provincial Government at a cost of K100, 000 through the Provincial Services Improvement Program (PSIP) fund.
Pariwa was impressed as funding for this project was only released mid this year to a number of schools to assist in infrastructure projects such as classrooms and teachers houses but most are yet to complete theirs.
""Biliau is the third school to have successfully completed its classroom project upon receiving funding and I want to thank the head teacher, the school board and the contractor for working together in collaboration,"" Pariwa said.
""That's the way it should be. We should put our differences aside and work together hand in hand to see productive results not only in education but also in other sectors,” he added.
Madang Education Advisor, Alphonse Igag outlined how his office is driving policies set out by the provincial government.
""We at the Madang Provincial Education Division and the Administration are happy that the Governor is pushing for us to come up with proper systems and ways which the government and the administration is supposed to run in the province,"" Mr. Igag said.
Mr. Igag urged the teaching staff, the board and students to look after school infrastructure whilst encouraging parents and teachers to set standards and ethical values in the school and community and be role models to the students to see positive change going forward.
Head Teacher Siloi Dimas, when presenting a brief report of the project completion, thanked Governor Pariwa for the support, adding that the school looks forward to working alongside the Madang Provincial Administration to deliver more projects."
EC seeks approval for Dei & NIP by-elections,13/11/2025,https://tvwan.com.pg/news/6836,TVWAN,Politics,Anticipation,Bob Dadae,"Electoral Commissioner, Simon Sinai has written to the Governor General, Grand Chief Sir Bob Dadae seeking approval for the by-elections for New Ireland Provincial seat and Dei open seat in Western Highlands Province.
“It is my great pleasure to submit to you under Section 106 of the Constitution the by-election dates for the Dei Open Electorate and New Ireland Provincial.
“I therefore seek your concurrence, and approval for the election program to be confirmed as follows:
1.	Issue of Writs – Thursday November 27, 2025
2.	Close of Nomination – Thursday December 04, 2025
3.	Commencement of Polling – Saturday January 03, 2026
4.	End of Polling – Monday January 19, 2026
5.	Return of Writs On or Before – Monday February 08, 2026.
“My office will inform the people of Dei and New Irland as soon as you approve the by-election program.”
Mr Sinai stated that preparation will begin as soon as the Governor General approve the dates.
Both seats were left vacant after the elected MPs passed on."
East Sepik UOG students await repatriation,13/11/2025,https://tvwan.com.pg/news/6832,TVWAN,Education,Fear,"Allan Bird, John Rosso","Close to 300 East Sepik students from the University of Goroka, are waiting in Lae for arrangements to be made for their return home.
The students reached Lae on Tuesday evening, and were accommodated at the Lae Secondary School.
Classes at UOG were suspended for two weeks following an incident at Ato Market, in Goroka, between a student and a group of intoxicated locals, sparking a confrontation that started on Saturday, November 8th, 2025, and continued to Sunday morning, ending at around 4pm.
The University of Goroka’s Yangoru-Saussia student association president, Sebron Yembihahu, outlined that aside from injuries and damages to property, students were traumatised and had to leave campus for fear of their safety.
This is not the first time students have been attacked by locals, hence, while waiting for word from their provincial administration, the East Sepik students followed their Morobean counterparts to Lae.
“We arrived in Morobe last night (November 11th),” said Yembihahu. “The first group arrived at 7pm and the second group arrived around 10pm.
“We were catered for here at the Lae Secondary School, where we spent the night.
“From Lae secondary, they have relocated us and we will be moving to Bugandi Secondary School, where we will remain there until Sunday, when we should be heading back to East Sepik Province.”
The second-year bachelor of science student drew attention to the fact that they were into their second week of examinations when the incident happened.
The university confirmed that approximately 75 percent of examinations have already been completed, with the remaining 25 percent to be conducted online in two weeks’ time for Years 1 to 3 students.
“The vice chancellor said we are going to do our exams online, through Google classroom and the date for the examinations is 24th-29th November. During that time, all students will go online and do their remaining exams.”
Meantime, Governor Allan Bird said the East Sepik Provincial Government is grateful to Lae MP, John Rosso, Morobe leaders and the people of Morobe for their assistance in moving their students to Lae.
Governor Bird confirmed that a representative from his office will be in Lae to coordinate the repatriation of students home as soon as possible."
Simbu UOG Students Return Home Safely,13/11/2025,https://tvwan.com.pg/news/6833,TVWAN,Education,Trust,Noah Kool,"The Simbu Provincial Government has stepped in to ensure the safety of its students at the University of Goroka (UOG) following the recent unrest on campus. Led by the Division of Education Principal Advisor, Bevwek Kutne, a rescue team travelled to Eastern Highlands on Monday with K10,000 in financial assistance, three coaster buses, and two Hino Dyna trucks to evacuate Simbu students.
The operation, organised by Governor Noah Kool and Provincial Administrator John Punde, demonstrated swift leadership and concern for students’ welfare. The funds were officially handed over by Mrs. Kutne to Simbu Student President, Kewe Kiwai, in the presence of all Simbu students at UOG.
After waiting for the UOG management’s official decision, which announced a two-week suspension, the students departed Goroka at midnight under police escort, arriving safely in Kundiawa at 2 a.m.
Mrs. Kutne said education remains Simbu’s greatest contribution to the nation.
“Simbu may not bring much revenue to the government, but our human resource is our strongest weapon,” she stated. “We are here for our students and their safety.”"
Ok Tedi Supports UPNG Law Students,13/11/2025,https://tvwan.com.pg/news/6847,TVWAN,Education,Trust,Nill,"Ok Tedi Mining Limited (Ok Tedi) has once again demonstrated its commitment to supporting the education of Papua New Guinea’s future leaders by sponsoring the 36th Moot Court Competition at the UPNG Law School.
The grand finals of the Moot Court competition were held on September 4th at UPNG’s main campus, showcasing the courtroom skills of law students as they prepared to become the country’s next legal practitioners.
Prizes for the grand finalists and consolation prizes for participants were sponsored by Ok Tedi and presented during the Law Students Society Closing Program on October 2nd.
Speaking at the event, Ok Tedi Manager Government and External Relations, Martin Paining, highlighted the company’s long-standing investment in education and training. “As a 100% PNG owned company, Ok Tedi is honoured to support the education of our future leaders. Our K159 million investment from 1981 to 2024 spans scholarships, apprenticeships, graduate programs, and trade training across institutions including UPNG, PNG University of Technology, and Divine Word University,” he said.
Mr Paining also noted that 98 percent of Ok Tedi’s workforce are Papua New Guinean, with 18 percent female representation, reflecting the company’s commitment to local talent and gender diversity.
He acknowledged UPNG’s role in producing some of PNG’s finest legal minds, including those now working within Ok Tedi’s Legal and Contracts divisions.
As PNG celebrates 50 years of independence, Ok Tedi continues to play a key role in shaping the nation’s future through education and leadership development."
Doctors Bring Health Services to YUS,13/11/2025,https://tvwan.com.pg/news/6834,TVWAN,Health,Trust,Nill,"The Tree Kangaroo Conservation Program (TKCP) has welcomed seven international doctors and health professionals from the United States to Papua New Guinea’s YUS Conservation Area this week, marking another milestone under its One Health program.
The visiting team will spend a week in YUS providing vital medical education, health checks, and community awareness sessions focused on improving the wellbeing of rural communities. This year’s visit, coordinated by TKCP’s One Health Partnerships Coordinator Roseylita Opa, focuses on maternal and physical health, with specialists in obstetrics, gynaecology, and physiotherapy joining the mission.
“The doctors aim to strengthen local health capacity, support Village Birth Attendants, and promote healthy living through the One Health approach,” said Ms Opa. “Community health workers and midwives will attend workshops on safe pregnancy and childbirth, reproductive health, nutrition, and common illness prevention.”
Founded by Dr. Lisa Dabek, TKCP’s One Health program links the health of people, wildlife, and the environment — promoting clean water, balanced nutrition, and food security. Dr. Dabek, who is travelling with the team, said the program ensures that conservation also benefits people’s lives.
“These remote communities are in desperate need of government medical care,” Dr. Dabek said. “We care equally about the villagers, tree kangaroos, and the environment.”
For the first time, TKCP has coordinated with both the Madang and Morobe Provincial Health Authorities and is preparing to sign a Memorandum of Understanding to strengthen long-term government health support to YUS."
Bureaucratic red tape blamed for slow release of funds to MaPHA,13/11/2025,https://tvwan.com.pg/news/6844,TVWAN,Health,Anger,Robert Naguri,"The Parliamentary Advisory Committee on Health has been told that a K15 million funding for Madang Provincial Health Authority has been sitting in Waigani for more than two years pending approvals.
MaPHA Chief Executive Officer, Martin Daimen revealed this when asked by the advisory committee why this money has not been utilized while health infrastructure in the province deteriorate.
The Committee conducted a two-day inquiry in Madang this week and took an interest in the K15 million currently sitting in the MaPHA trust account and has not been accessed in the last two years.
Chairman of the Committee and Member for Bogia, Robert Naguri led the inquiry, taking the MaPHA CEO to task over the delay in drawing these funds.
The CEO in explaining the delay, outlined the process involved in accessing this money. He said in order to access the funding, MaPHA had to submit its plans for vetting and deliberation to the Project Steering Committee which is made up of Treasury, National Planning and the Prime Ministers departments. He revealed that MaPHA has been waiting ever since the submission as the PSC keeps deferring.
In response, Naguri said, ""This is not good enough, we think we are doing the right thing, but we are not. In the process of waiting, lives are lost, and we keep moving backward. We've got to move forward and deliver the best patient care and service to the people, that is our primary role,"" Mr. Naguri emphasized.
Appalled by this process, Naguri said he would personally pay a visit to the Ministers for Health and National Planning and ask them to release the money immediately.
As a level 5 hospital, Mr. Naguri stated that the infrastructure and environment of the hospital is not conducive and it is disheartening to see that there is no proper emergency building as the former building is still under construction and currently a ward is being used for emergency cases with patients scattered around waiting to be attended to.
Toilets are closed with only one ablution block containing four bathrooms and toilets for males and females each, currently being used for the entire hospital.
The morgue chillers are in need of maintenance with dead bodies kept refrigerated containers at freezing temperatures.
Another serious concern raised by the Committee affirming the need of K15 million was that most of the infrastructures still had the toxic asbestos, which needs to be changed immediately.
The inquiry is an extension from Morobe's Angau Memorial Hospital last week."
Goilala Teachers gain skills in inclusive and effective teaching,13/11/2025,https://tvwan.com.pg/news/6846,TVWAN,Education,Trust,Nill,"More than 86 teachers from Goilala in Central Province have strengthened their skills and confidence in the classroom.
A recent training led by the Central Provincial Division of Education, in collaboration with the Catholic Diocese of Bereina, National Department of Education and Australian funded Partnerships for Improving Education program, showed them the importance of including every child in teaching and learning.
Kanansio Kito, the teacher-in-charge at Kerau Primary School, who has been teaching there for 14 years, says it opened his eyes to drawing on policies more efffectively.
“Before this session, I did not know much about GESI and WASH. I am now ready to implement these new policies,” Mr Kito said.
For Francis Paru, who has taught in Kivori Primary School for 11 years, the training was transformative.
“The training showed me how to maintain a safe and hygienic environment for both school and community”.
Mr Paru also highlighted that the policies provided practical strategies for preventing the spread of illness and promoting equal participation in class, to ensure every student has the opportunity to learn.
The policy in-service supported by Australia’s Partnerships for Improving Education program has reached over 700 teachers and almost 100 trainers, who are education officials. It has not only equipped teachers with critical knowledge and skills but also empowered them to champion inclusive and safe education practices, in some of Papua New Guinea’s most remote schools.
As these educators return to their classrooms, they are determined to share what they have learnt, to foster equity, and to nurture the potential of every student."
Sonoma WNB Students Return Home,13/11/2025,https://tvwan.com.pg/news/6843,TVWAN,Politics,Trust,Nill,"Fourteen self-sponsored students from West New Britain Province studying at Sonoma Adventist College have safely returned home.
The students were met and welcomed in Kimbe by Acting Deputy Provincial Administrator for Social Services, John Sitapai, who assured families that the provincial government remains committed to helping all students affected by the situation.
He said the government has also begun repatriating 260 students from the University of Goroka (UOG), who were caught up in the same unrest.
Mr. Sitapai said arrangements are being made to move the UOG students from Goroka to Lae, where they will be flown home with the support of Air Niugini and local leaders.
He thanked the West New Britain administration, Governor’s Office, and other provincial leaders for working together to ensure the safety of all students.
Student spokesperson Benedict Diden expressed heartfelt gratitude, saying the students felt fear and uncertainty but were comforted by the government’s swift response.
“The government of West New Britain rescued us from the chaos,” Diden said. “You gave us a second chance at life. We promise to study hard and help rebuild our province.”
The West New Britain Provincial Government continues to monitor and assist all students from the province studying in other parts of Papua New Guinea to ensure their safety and wellbeing."
UOG SRC Calls for Security Fencing and Dorm Repairs,13/11/2025,https://tvwan.com.pg/news/6841,TVWAN,Education,Fear,Robert Atiyafa,"The University Council of the University of Goroka (UOG) has resolved to commission an independent investigation to establish the real cause of the continuous disturbances caused by members of the surrounding communities.
According to a statement released from the Vice Chancellors office, it stated that repeated conflicts and disruptions have caused instability and great fear among the students and staff, even resulting in several deaths.
Vice Chancellor Dr. Teng Waninga (PhD), whilst informing the National Government, the Department of Higher Education, Research, Science and Technology, parents, guardians, sponsors, and the general public, said the recent clash was stressful and undermined the main focus of providing quality teacher trainings program in a more secure and peaceful environment.
The students, through their Student Representative Council, appealed to the National Government, local members, and the top management to give immediate attention and priority in funding a permanent perimeter fencing, construction of additional dormitories and maintenance of damaged dormitories for student lodging. They appealed to have those safety measures in place before the commencement of 2026 academic year so as to avoid further confrontations in future.
Students have been living in the surrounding communities after dormitories were damaged during an earthquake in 2022.
Around 51 students were reportedly injured during the fighting and received medical attention at the Goroka General Hospital. Most of them have since been discharged while five students remain in critical but stable condition.
It was also reported that several staff houses were destroyed and personal valuables stolen. The Vice Chancellor stated that the university will provide financial assistance to staff who were affected.
Police from Simbu and Western Highlands are currently providing security and maintaining stability in and around the campus and will remain there imdefinitely.
""On behalf of the council, top management team, staff, students and sponsors, I would like to pass my sincere gratitude to Kinoka Feo, Robert Atiyafa, and local leaders and the Okiufa community who assisted in bringing normalcy to the University. We also appreciate the police minister and Commissioner for arranging mobile squad members to provide security on campus. We also thank the Defense Force from Igam Barracks who dispersed the crowd and took control of the situation. We also thank the Governors and elected leaders for funding transportation of students to their various destination,"" stated the VC."
