Title,URL,Date,Content,Category,Sentiment,People,Source
240 reservists passout from training centre,https://www.thenational.com.pg/240-reservists-passout-from-training-centre/,17/11/2025,"ABOUT 241 police reservists have passed out in the first intake of the National Reservist Training for East New Britain on Friday. Governor Michael Marum congratulated the reservists at Kokopo during a parade witnessed by Police Commissioner David Manning. “It is a significant milestone for the province, marking a renewed commitment to strengthening law and order and addressing manpower gaps within the Royal Papua New Guinea Constabulary,” he said. Marum also thanked the Government, the Ministry of Police and the Department of Police for the initiative and support to the reservist programme, stating its importance in complementing regular police operations, especially in rural and high-demand areas. “I would also acknowledge the support and technical cooperation of the Australian Federal Police personnel based in Kokopo,” he said. Marum challenged the reservists to wear their uniform with pride and purpose, reminding them that many before them had upheld the values and discipline of the constabulary. “The uniform is a symbol of service, sacrifice and respect for the people they serve,” he told the reservists,” Marum said. He also appealed to the people of ENB for their respect and support for the new reservists. “They are here to serve you so allow them to do their jobs with the greatest respect by working with them,” he said. “When the public and the police cooperate, we build safer communities together.” Marum also extended his appreciation and support to ENB MPs; Dr Allan Marat, Jelta Wong, Eremas ToBaining, Elias Kapavore and the provincial administration for their contributions to the successful implementation of the programme.",Law,Trust,"Allan Marat, Elias Kapavore, Jelta Wong",The National
Marape backs Australia to host Cop31,https://www.thenational.com.pg/marape-backs-australia-to-host-cop31/,17/11/2025,"PRIME Minister James Marape has expressed his strong support for Australia’s bid to host the 31st Conference of the Parties (Cop31) climate summit next year. Marape, in a statement on Thursday, said PNG’s support would elevate the collective voice of the pacific and Oceania region on Global Climate Action. Marape confirmed that he had discussed the matter with Australian Prime Minister Anthony Albanese and that Papua New Guinea, alongside other Pacific Island nations, fully supported Australia’s candidature to host the summit. “The Australian bid to host Cop31 is not just an Australian initiative – it is a regional bid, one that carries the full backing of the 15 Pacific Island Forum nations,” Marape said. “We in the Pacific collectively believe that after Brazil hosted Cop30 this year as a forest nation, it is proper and timely for the Oceania region – home of the world’s largest ocean – to host Cop31.” Marape said this proposal represented a continuation of the global conversation linking the “Forest Nations” and “Ocean Nations”, two essential nature-based solutions to climate change. “With due respect to our friends in Turkey, this is nothing personal,” he said. “Turkey and its president are highly respected.” Marape underscored that the Pacific and rainforest nations carry rare moral authority to speak on both mitigation and adaptation, given their vulnerability to the worsening impacts of climate change and their stewardship over vital global carbon sinks. “The Pacific Ocean is the largest on Earth, and our Island Nations are among those most affected by rising sea levels, coastal erosion and changing weather patterns,” he said. “We experience the harshest realities of climate change first hand, yet we also offer some of the most powerful solutions – our forests and our oceans, which absorb massive amounts of carbon and host immense biodiversity.” Marape emphasised that Cop 31 in Australia would not only give voice to the Pacific’s climate concerns but also demonstrate regional solidarity and leadership in driving global transition towards clean, green energy. “The industrialised nations have not yet fully transitioned from fossil fuels to renewable energy,” he said. “As the world works toward this transformation, the Pacific and the rainforest nations – those in the Amazon, the Congo Basin, and here in Southeast Asia – stand as critical partners through our stewardship of forests and oceans.” He added: “From Belém in Brazil to Australia in Oceania, there is a natural sequence – a continuation of the climate dialogue – linking the forest nations and ocean nations. This transition of host venues symbolically connects nature-based solutions to global climate action.”",Politics,Trust,James Marape,The National
MP urges Marape to concentrate on internal climate change issues,https://www.thenational.com.pg/mp-urges-marape-to-concentrate-on-internal-climate-change-issues/,17/11/2025,"HIRI-KOIARI MP Keith Iduhu says Prime Minister James Marape and his government should concentrate on internal climate change problems so that the country can properly benefit from climate funding. He said this on Friday after Marape addressed the World Leaders Climate Action Summit at the 30th Conference of the Parties (Cop30) in Belem, Brazil. “I agree in principle with Marape that PNG deserves conservation financing, however, the Government’s failure to address ingrained and systematic corruption and its failure to strengthen dangerously weak institutions will, in my view, ultimately prevent funds from benefiting the people,” Iduhu said. “His government must crack down on illegal logging.” Marape, when addressing the world leaders at Cop30, reaffirmed PNG’s commitment to global climate action and sustainable development. Iduhu said: “He wants PNG to have fair access to the Green Climate Fund, which is a large international fund that helps developing countries pay for projects related to climate change. “He (Marape) also wants clear and honest rules for carbon market systems, which is a way for countries to trade ‘carbon credits’ as outlined in the global Paris climate agreement. “This ensures that money from protecting forests goes to the right people. “They must safeguard the rights of landowners with sufficient law enforcement support to ensure they do not come into conflict with illegal loggers. “Most importantly, Marape and his government must ensure police are resourced to protect and serve the people.”",Politics,Anger,"James Marape, Keith Iduhu",The National
Paita to continue partnership,https://www.thenational.com.pg/paita-to-continue-partnership/,17/11/2025,"MOROBE Governor Rainbo Paita will continue the partnership between the provincial government, Katim Tasol Organisation (KTO) and Manalos Aviation to establish portable clinics in rural areas. Paita said health was one of the major sectors that his government would be looking at during this remaining 15 months of his regime. He said the bigger population of Morobe was living in rural areas. The portable clinic is the Bush Clinic project of the KTO, a non-governmental organisation with the mission of bringing quality health to every rural community in line with the Government health plan 2021-2030. The provincial government, in partnership with Manalos Aviation, supported the NGO to install two portable clinics at Indagen in Kabwum last year. “We are going to pick more than five sites that are unable to get quality health services,” Paita said. “We will partner with them and fund them to run the programme in the rural areas.” KTO is working in partnership with the Lutheran Health Services, Mama Foundation (Manalos Aviation) and the Morobe health authority to provide treatment for common healthcare problems. The features included in the modular are a mini operating theatre for obstetric and minor surgical procedures, treatment for babies, including neonatal resuscitation, pediatric infusion pumps and phototherapy, stabilising critical patients with intensive care monitoring and adaptive airway management. Diagnostic unit integrated: Important diagnostic tests can be done on-site. This partnership was established under the leadership of the late governor Luther Wenge, and Paita promised to continue because it would benefit the rural population of Morobe.",Health,Trust,"Luther Wenge, Rainbo Paita",The National
Rosso urges unity among politicians,https://www.thenational.com.pg/rosso-urges-unity-among-politicians/,17/11/2025,"THERE has to be unity and collaboration among Morobe politicians for the benefit of the greater Morobe, says Lae MP, John Rosso. Rosso made the remarks after the election of the new Governor, Rainbo Paita, and stated that politics will not benefit Morobe, if there was division among the MPs. As a senior politician and the Deputy Prime Minister, Rosso, congratulated Paita, stating that the vacancy has been filled and Paita would chair the Tutumang (provincial assembly) for the next 15 months. “We have the ability to change Morobe through this house,” he added. “Put people first in every decision that we will make.” After cautioning the MPs, Rosso, pledged to work in collaboration with Paita, stating that Morobe is a big province with many resources and challenges, and if they work together, then they could deliver. Bulolo MP Sam Basil Jr shared the same sentiment and said that there had to be an equal benefit sharing agreement established under the new governor. “People in the rural area are still suffering,” he added. “More money should be funded into the airlines company to assist the rural areas that are not connected to a road link.” Basil then stated that party politics must not be played at the provincial level, but there had to be equality in benefit sharing and be fair. Tewae-Siassi MP Dr. Kobby Bomareo told Paita that there had to be restoration of the budget for all the provincial roads in the next budget. “People of Morobe and leaders must not take sides,” he said. “Let us unite and be positive for going way forward. “If we divide, then we can’t achieve the goals and deliver the services people need. “The chairman (governor) must work together with the provincial executive council and the MPs to serve the interests of rural Morobe.” Bomareo then congratulated Paita and urged the 10 MPs and the People’s Executive Council to work together for the interest of the rural Morobe.",Politics,Anticipation,"John Rosso, Kobby Bomareo, Rainbo Paita, Sam Basil",The National
K7.4 million park to attract tourists,https://www.thenational.com.pg/k7-4-million-park-to-attract-tourists/,17/11/2025,"THE redeveloped Konebada recreational facility at Gabutu, constructed at a cost of K7.4 million, is expected to not only serve the local community but be also a tourist attraction. National Capital District (NCD) Governor Powes Parkop said at the opening on Friday that Port Moresby has three main beaches, Ela Beach, Konebada and Taurama. “It has the potential to be reclaimed and to have that part of our seafront enjoyed by residents and visitors but that’s another challenge and story,” he said. “We want the city to look attractive to tourists and business people. “With the NRL franchise, we need to look at how to improve standards in the city like the car parks at our stadiums.” Prime Minister James Marape said the Government was working on a policy and by next year, they would announce a learning programme that would be attached to traditional land across the country. “We started something at Tuhava estate,” he said. “This would allow traditional landowners to have titles and earn money instead of losing land forever. Marape said the other agenda they were looking at was boosting tourism within the country and internationally apart from gold, copper and others. Marape said the city had to be a better place to set an example to other provinces because it was the central stopover for tourists and other visitors. Meanwhile, local MP Justin Tkatchenko said that last year they advertised for Motu-Koitabu companies or interested persons to manage and run the facility, knowing that many years before it was traditional Motu-Koitabu land. “We had 12 applicants from Vabukori who are the main village and from there they were selected from merit and ability to maintain, operate and have these facilities properly coordinated for the benefit of the public and to set the new direction for the electorate,” he said. The NCD Commission board committed K6.4 million for the project with an additional K1 million from the district services improvement programme.",Business,Anticipation,"James Marape, Justin Tkatchenko, Powes Parkop",The National
PM pays tribute to RH founder,https://www.thenational.com.pg/pm-pays-tribute-to-rh-founder/,14/11/2025,"PRIME Minister James Marape has thanked the late Tan Sri Sir Tiong Hiew King, the founder of the Rimbunan Hijau (RH) Group of Companies, for his work and contributions to Papua New Guinea. “I pass on our condolences to the family, relatives and the staff of all RH companies on the passing of Tan Sri Sir Tiong Hiew King,” Marape said in a statement. “We appreciate his work and contributions to our country in the creation of a business conglomerate that has covered everything from forestry to supermarkets to hotels and real estate, to the media. “These companies have employed thousands of Papua New Guineans over the years, and through them put food on the table, send children to school, and meet basic needs.” Tiong passed away on Tuesday in Malaysia. Marape acknowledged his contributions to industries such as oil palm, forestry, aviation, supermarket chains, real estate, tourism and hospitality, andThe Nationalnewspaper. “I acknowledge Tan Sri Sir Tiong Hiew King’s work and thank him for his choice to invest heavily in our country and opening up opportunities to many of our people. We thank him. May his soul rest in peace.”",Business,Trust,James Marape,The National
Ela Motors donates bus for education programme,https://www.thenational.com.pg/ela-motors-donates-bus-for-education-programme/,14/11/2025,"ELA Motors has donated a bus to the Port Moresby Nature Park to be used for its education programme. Ela Motors chief executive officer Masaru Mikami said the artwork, by Japanese artist Kensuke Miyazaki, reflected the spirit of Papua New Guinea through themes of cultural pride, innovation and community collaboration. “It stands as a symbol of our shared journey and enduring commitment to unity and progress,” Mikami said. He said renowned artist Miyazaki was best known as the project leader of the Over the Wall initiative. Miyazaki said that the project had provided vibrant murals to nine countries including Kenya, Timor-Leste, Ukraine, Ecuador, Haiti, Pakistan, Benin, Palau and the Netherlands. “Papua New Guinea becomes the 10th, as part of a global mission to create super-happy murals with local communities and brighten the world through art,” he said. In celebrating PNG’s 50th Independence anniversary, Miyazaki and his team also created commemorative murals for Kokopo, Goroka and Port Moresby. Prime Minister James Marape thanked Ela Motors and Japan for being good corporate partners in the development of the country.",Community,Joy,James Marape,The National
Public service holiday dates set,https://www.thenational.com.pg/public-service-holiday-dates-set/,14/11/2025,"PUBLIC servants will take a break for Christmas from Thursday, Dec 25 to Friday, Jan 2, according to the Department of Personnel Management. Department Secretary Taies Sansan in a statement said: “The shutdown period allows public servants the opportunity to rest and spend quality time with their families during the festive season.” “However, essential and emergency services such as hospitals, police, defence, correctional services, and public utilities will continue operations to ensure services to our people are not disrupted during this time.” The three paid shutdown days are Monday, Dec 29, Tuesday, Dec 30, and Wednesday, Dec 31. Sansan added that public servants rostered to work during the shutdown would be compensated with a paid day off at a later date. “Departments and agencies are encouraged to plan accordingly so that critical functions continue smoothly while allowing as many staff as possible to enjoy the festive break,” she said. She said that the department’s payroll division, in collaboration with Finance, would maintain normal operations, plus the Immigration and Citizenship Services Authority. “I wish all our public servants and their families a safe and blessed Christmas and a prosperous New Year 2026.”",Business,Joy,Nill,The National
"All process followed in election of governor, says deputy clerk",https://www.thenational.com.pg/all-process-followed-in-election-of-governor-says-deputy-clerk/,14/11/2025,"THE election of the new Morobe governor followed due processes, says Deputy Clerk to Parliament Basil Kambuliagen. Kambuliagen presided over a Tutumang (provincial assembly) special sitting yesterday to elect a new governor to replace the late Luther Wenge. The special sitting was supposed to start at 10am but delayed to 11am. “Even though there was a slight delay, it was for them to manage themselves. “We cannot force them as they are mandated leaders,” Kambuliagen said. “We are satisfied with everything because no constitutional amendments were made. “The process has been perfectly followed, which means there will be no complaints.” Deputy governor Willie Simbisi called for the nomination of candidates at 11.42am. Kambuliagen said democratic processes were followed, guided by the standing orders, in nominating and electing Rainbo Paita as the Governor of Morobe for the next 15 months. Meanwhile, Deputy Prime Minister and Lae MP, John Rosso, said the vacancy created by the passing away of Luther Wenge on Sept 13, had been filled  yesterday, Nov 13. Rosso called for unity among the MPs and the provincial executive council to deliver services in the rural areas of Morobe.",Politics,Trust,"John Rosso, Luther Wenge, Rainbo Paita",The National
Menyamya students urged to stay active during forced break,https://www.thenational.com.pg/menyamya-students-urged-to-stay-active-during-forced-break/,14/11/2025,"MENYAMYA students attending the University of Goroka have been encouraged to spend their early school break in productive activities like awareness and advocacy in the district. The 60 student were among the group of Morobe students from the institution who were repatriated to Lae and accommodated at Bugandi Secondary School on Tuesday night. Menyamya MP Solen Loifa and administrator Fidelis Harrisol met with the students yesterday to transport them back to the district which is located over 100 kilometres southwest of the provincial capital. “When you’re back in the district, don’t get involved in politics or any violence,” Harrisol said. “Rest your mind, be productive. If you want to carry out awareness on certain issues, advice the district and we’ll support you with resources.” Loifa said what happened was an unfortunate situation and sympathised with the students for the disruption to their academic year. He was in Goroka with other Morobe leaders yesterday to facilitate the movement. He thanked the Morobe administration and fellow MPs from the province’s nine districts for their concerted efforts in ensuring their children’s safe return home. Harrisol confirmed that no Menyamya student was injured during the fight between UOG students and Goroka landowners. “You students are our human resource, we at the district respect you and must make sure you reunite with your parents and give them comfort,” he said. The final group in Lae are the East Sepik Students body, currently accommodated at the Lae Secondary School. Morobe administration met with them to arrange for their movement to Bugandi Secondary, awaiting further arrangements for their return to respective provinces. A total of 45 buses and vehicles convoyed from Goroka, Eastern Highlands to Lae, bringing more than 1,000 students from the Mamose region.",Politics,Trust,Solen Loifa,The National
Reckless driving still high,https://www.thenational.com.pg/reckless-driving-still-high/,14/11/2025,"MORE THAN 50 road accidents have occurred over the past five months in the National Capital District (NCD). In July, police reported that these accidents were due to high speed and alcohol related, causing deaths of at least 10 people.“With the festive season coming up and while it is a time to be joyful to celebrate the birth of our Lord and saviour, there’s a lot of things that happens during this time,” Police Commissioner David Manning said. Manning urged motorists to take extra precautions and be mindful of pedestrians and other road users. Recent accidents in the city included the Konedobu incident that claimed three lives on Tuesday, one at 5-Mile where a contractor lost his life and two other accidents the same nigh but no deaths. Meanwhile, NCD Metropolitan Superintendent Warrick Simatab said traffic police were investigating the Konedobu accident. “There were about four traffic accidents reported to police because people are still driving recklessly around the city,” he said. “Our traffic officers are making arrests, people are being convicted, but we still have ignorant individuals who do not think about other road users and the people they carry.” Simatab said they were trying their best to ensure some accidents were avoided by conducting random police stop-and-search operations, setting up roadblocks and doing motor patrols to show police presence. When drivers see police, they tend to drive with care. “Police will not always be at locations where you are involved in an accident; look after yourself, passengers and others on the road,” Simatab said. He also called on the relatives of the deceased to work with police to hasten investigations.",Accidents,Sadness,Nill,The National
