,Pub.Date,Top.Stories,URL
55,22/08/2024,Tokome takes on new regional role,https://www.postcourier.com.pg/tokome-takes-on-new-regional-role/
56,22/08/2024,"Indonesia, PNG business relations commended",https://www.postcourier.com.pg/indonesia-png-business-relations-commended/
57,22/08/2024,PM: I owe no one an apology,https://www.postcourier.com.pg/pm-i-owe-no-one-an-apology/
58,22/08/2024,Mentorship important for growing women leadership in business,https://www.postcourier.com.pg/mentorship-important-for-growing-women-leadership-in-business/
59,21/08/2024,Report sees rise in Women Board directors and CEO’s in PNG,https://www.postcourier.com.pg/report-sees-rise-in-women-board-directors-and-ceos-in-png/
60,21/08/2024,Excess demand for Exchange Rate affects investment in PNG,https://www.postcourier.com.pg/excess-demand-of-exchange-rate-affects-investment-in-png/
61,21/08/2024,Paradise Foods draws winners for NGI region,https://www.postcourier.com.pg/paradise-foods-draws-winners-for-ngi-region/
62,21/08/2024,Tabu festival to celebrate twin eruption,https://www.postcourier.com.pg/tabu-festival-to-celebrate-twin-eruption/
63,21/08/2024,"It has taken us 50 years to reach this point, says Maru",https://www.postcourier.com.pg/it-has-taken-us-50-years-to-reach-this-point-says-maru/
64,21/08/2024,MSME trading licenses should be given to table markets in NCD,https://www.postcourier.com.pg/msme-trading-licenses-should-be-given-to-table-markets-in-ncd/
65,21/08/2024,Young Minds Savings Campaign begins in Milne Bay Province,https://www.postcourier.com.pg/2024-young-minds-savings-campaigns-begins-in-milnebay-province-with-six-schools-over-100-savings-accounts-open-forschools-students/
66,21/08/2024,PM Marape opens 2024 PNG Update,https://www.postcourier.com.pg/pm-marape-opens-2024-png-update/
67,21/08/2024,Organisation culture a challenge for Women in Business Leadership,https://www.postcourier.com.pg/organisation-culture-a-challenge-for-women-in-business-leadership/
68,21/08/2024,Newmont relaunches flagship workplace anti-violence program,https://www.postcourier.com.pg/newmont-relaunches-flagship-workplace-anti-violence-program/
69,20/08/2024,PNG women more prevalent in informal sector than men,https://www.postcourier.com.pg/png-women-more-prevalent-in-informal-sector-than-men/
70,20/08/2024,Education vital in shaping women’s leadership opportunities,https://www.postcourier.com.pg/education-vital-in-shaping-womens-leadership-opportunities/
71,20/08/2024,Widowed Mother of Six Transforms Life Through EU-Funded Farming Project,https://www.postcourier.com.pg/widowed-mother-of-six-transforms-life-through-eu-funded-farming-project/
72,20/08/2024,Papua New Guinea Delegation Learns from Indonesia’s Special Economic Zones,https://www.postcourier.com.pg/papua-new-guinea-delegation-learns-from-indonesias-special-economic-zones/
73,20/08/2024,Late David Osikore was instrumental in progress of BCL,https://www.postcourier.com.pg/late-david-osikore-was-instrumental-in-progress-of-bcl/
74,20/08/2024,Digital hub empowers Nuku farmers,https://www.postcourier.com.pg/digital-hub-empowers-nuku-farmers/
75,20/08/2024,Apele cocoa farmers open bank accounts,https://www.postcourier.com.pg/apele-cocoa-farmers-open-bank-accounts/
76,20/08/2024,Inflation level lower than historical levels,https://www.postcourier.com.pg/inflation-level-lower-than-historical-levels/
77,20/08/2024,Coca-Cola brings Families Together for a Day of Fun and Connection,https://www.postcourier.com.pg/coca-cola-brings-families-together-for-a-day-of-fun-and-connection/
78,20/08/2024,Department of Agriculture and Livestock facilitates Vanilla Expertise Exchange by EU-STREIT PNG Programme in Milne Bay Province,https://www.postcourier.com.pg/papua-new-guinea-department-of-agriculture-and-livestock-facilitates-vanilla-expertise-exchange-by-eu-streit-png-programme-in-milne-bay-province/
79,20/08/2024,Determined farmer buys boat from cocoa earnings,https://www.postcourier.com.pg/determined-farmer-buys-boat-from-cocoa-earnings/
80,19/08/2024,Boeing 737 struck by ground service vehicle in Manila,https://www.postcourier.com.pg/boeing-737-struck-by-ground-service-vehicle-in-manila/
81,19/08/2024,Work to address ageing Paguna mine infrastructure,https://www.postcourier.com.pg/work-to-address-ageing-paguna-mine-infrastructure/
82,19/08/2024,Papindo staff show last respect to late Soekanda,https://www.postcourier.com.pg/papindo-staff-show-last-respect-to-late-soekanda/
83,19/08/2024,MRA boss calls for respect,https://www.postcourier.com.pg/mra-boss-calls-for-respect/
84,19/08/2024,Gobe landowners serve 14 days’ notice,https://www.postcourier.com.pg/gobe-landowners-serve-14-days-notice/
85,19/08/2024,‘Do more for MSMEs to grow PNG economy’,https://www.postcourier.com.pg/do-more-for-msmes-to-grow-png-economy/
86,16/08/2024,Poor road condition sees increase in costs,https://www.postcourier.com.pg/poor-road-condition-sees-increase-in-costs/
87,16/08/2024,Mama Bank to set up in Abau,https://www.postcourier.com.pg/mama-bank-to-set-up-in-abau/
88,16/08/2024,OTML provides houses for 10 local families in Miamrai,https://www.postcourier.com.pg/otml-provides-houses-for10-local-families-in-miamrai/
89,16/08/2024,NFA warns locals of suspicious individuals,https://www.postcourier.com.pg/nfa-warns-locals-of-suspicious-individuals/
90,15/08/2024,Sir Puka commends Mama bank on achieving 10-year Milestone,https://www.postcourier.com.pg/sir-puka-commends-mama-bank-on-achieving-10-year-milestone/
91,15/08/2024,Abau locals to access SME loan scheme,https://www.postcourier.com.pg/abau-locals-to-access-sme-loan-scheme/
92,15/08/2024,EU-STREIT PNG’s Digital Hub Empowers Nuku Farmers in Papua New Guinea to Connect and Thrive,https://www.postcourier.com.pg/eu-streit-pngs-digital-hub-empowers-nuku-farmers-in-papua-new-guinea-to-connect-and-thrive/
93,15/08/2024,Overseas training to boost access to global markets,https://www.postcourier.com.pg/overseas-training-to-boost-access-to-global-markets/
94,15/08/2024,Togoba Kofi Limited launch downstream products,https://www.postcourier.com.pg/togoba-kofi-limited-launch-downstream-products/
95,15/08/2024,ANZ delivers more financial literacy training,https://www.postcourier.com.pg/anz-delivers-more-financial-literacy-training/
96,15/08/2024,Five per cent price increase for Digicel postpaid service,https://www.postcourier.com.pg/five-per-cent-price-increase-for-digicel-postpaid-service/
97,15/08/2024,Wewak facing power issues,https://www.postcourier.com.pg/510490-2/
98,15/08/2024,American companies frustrated,https://www.postcourier.com.pg/american-companies-frustrated/
99,14/08/2024,Environment authority sounds warning to all industries on waste oil disposal requirement beginning next week,https://www.postcourier.com.pg/environment-authority-sounds-warning-to-all-industries-on-waste-oil-disposal-requirement-beginning-next-week/
100,14/08/2024,"From Smoke to Success: Tina Savinio’s Fish Smoking Revolution in the Sepik, Papua New Guinea",https://www.postcourier.com.pg/from-smoke-to-success-tina-savinios-fish-smoking-revolution-in-the-sepik-papua-new-guinea/
101,14/08/2024,Ramu NiCo Supports Local Education during the National Book Week,https://www.postcourier.com.pg/ramu-nico-supports-local-education-during-the-national-book-week/
102,14/08/2024,Mama Bank customers in East Sepik can apply for loan,https://www.postcourier.com.pg/mama-bank-customers-in-east-sepik-can-apply-for-loan/
103,14/08/2024,Institution partners NGO to enhance financial literacy,https://www.postcourier.com.pg/institution-partners-ngo-to-enhance-financial-literacy/
104,14/08/2024,Credit Corp PNG assets stand at K1.8 billion,https://www.postcourier.com.pg/credit-corp-png-assets-stand-at-k1-8-billion/
105,14/08/2024,Kina Bank team visit children’s cancer ward,https://www.postcourier.com.pg/kina-bank-team-visit-childrens-cancer-ward/
106,14/08/2024,Air Niugini participates in business investment conference,https://www.postcourier.com.pg/air-niugini-participates-in-business-investment-conference/
107,14/08/2024,Agreements worth K20m signed with cocoa farmers,https://www.postcourier.com.pg/agreements-worth-k20m-signed-with-cocoa-farmers/
108,14/08/2024,Organic certification training to boost PNG’s access to global markets.,https://www.postcourier.com.pg/organic-certification-training-to-boost-pngs-access-to-global-markets/
109,14/08/2024,"Lae Biscuit, Buk Bilong Pikinini announce partnership to boost literacy",https://www.postcourier.com.pg/lae-biscuit-buk-bilong-pikinini-announce-partnership-to-boost-literacy/
110,14/08/2024,Central lime project into phase 2,https://www.postcourier.com.pg/central-lime-project-into-phase-2/
111,14/08/2024,National Banking Corporation appoints Paul Thornton as Non-Executive Director,https://www.postcourier.com.pg/national-banking-corporation-appoints-paul-thornton-as-non-executive-director/
112,14/08/2024,"Frieda River Limited donates 5,000 litre water tank to remote Ward 17 community",https://www.postcourier.com.pg/frieda-river-limited-donates-5000-litre-water-tank-to-remote-ward-17-community/
113,13/08/2024,"PNG continues to import 400,000 tons of Rice annually",https://www.postcourier.com.pg/png-continues-to-import-400000-tons-of-rice-annually/
114,13/08/2024,OTML’s 26 new apprentices sign indenture contracts,https://www.postcourier.com.pg/otmls-26-new-apprentices-sign-indenture-contracts/
115,13/08/2024,Kina Bank Team Visits Children’s Cancer Ward,https://www.postcourier.com.pg/kina-bank-team-visits-childrens-cancer-ward/
116,13/08/2024,School of business hosts 70th graduation,https://www.postcourier.com.pg/school-of-business-hosts-70th-graduation/
117,13/08/2024,Mahogany Capital gets approval from BPNG,https://www.postcourier.com.pg/mahogany-capital-gets-approval-from-bpng/
118,13/08/2024,Workshop held in Kimbe to prepare for biennial climate report,https://www.postcourier.com.pg/workshop-held-in-kimbe-to-prepare-for-biennial-climate-report/
119,13/08/2024,K36.1m road project to connect OTML mine villages,https://www.postcourier.com.pg/k36-1m-road-project-to-connect-otml-mine-villages/
120,13/08/2024,Sir Chris queries delay on Papua LNG development,https://www.postcourier.com.pg/sir-chris-queries-delay-on-papua-lng-development/
121,12/08/2024,Elma Tiki: Delivering quality at Coca-Cola Europacific,https://www.postcourier.com.pg/elma-tiki-delivering-quality-at-coca-cola-europacific/
122,12/08/2024,BSP continue school visits to open student accounts,https://www.postcourier.com.pg/bsp-continue-school-visits-to-open-student-accounts/
123,12/08/2024,"Future resource to be on auction, says Marape",https://www.postcourier.com.pg/future-resource-to-be-on-auction-says-marape/
124,12/08/2024,100 million ounces of gold yet to be extracted,https://www.postcourier.com.pg/100-million-ounces-of-gold-yet-to-be-extracted/
125,11/08/2024,PNG Losing Billions in US Dollars from the Fisheries Industry,https://www.postcourier.com.pg/png-losing-billions-in-us-dollars-from-the-fisheries-industry/
126,10/08/2024,Solid growth expected for PNG in the final half of year,https://www.postcourier.com.pg/solid-growth-expected-for-png-in-the-final-half-of-year/
127,09/08/2024,PM MARAPE APPLAUDS TOGOBA KOFI FOR GOING INTO DOWNSTREAM PROCESSING OF PNG COFFEE,https://www.postcourier.com.pg/pm-marape-applauds-togoba-kofi-for-going-intodownstream-processing-of-png-coffee/
128,09/08/2024,Makap: IBBM provides effective practical courses,https://www.postcourier.com.pg/makap-ibbm-provides-effective-practical-courses/
129,09/08/2024,Weekend market guide,https://www.postcourier.com.pg/weekend-market-guide-2/
130,09/08/2024,"Somare-Brash: Financial inclusion, a remarkable feature of PNG’s economy",https://www.postcourier.com.pg/dulciana-somare-brash-financial-inclusion-a-remarkable-feature-of-pngs-economy/
131,09/08/2024,Ok Tedi mine rehabilitates affected waste management site,https://www.postcourier.com.pg/ok-tedi-mine-rehabilitates-affected-waste-management-site/
132,09/08/2024,Susil Nelson-Kongoi: IBBM graduates encouraged to embrace future opportunities,https://www.postcourier.com.pg/susil-nelson-kongoi-ibbm-graduates-encouraged-to-embrace-future-opportunities00/
133,09/08/2024,Engans working with OTML have raised funds for Mulitaka,https://www.postcourier.com.pg/engans-working-with-otml-have-raised-funds-for-mulitaka/
134,09/08/2024,Agreement signed to start work on Esa’ala airstrips,https://www.postcourier.com.pg/agreement-signed-to-start-work-on-esaala-airstrips/
135,09/08/2024,Demand in energy-processing metals,https://www.postcourier.com.pg/demand-in-energy-processing-metals/
136,09/08/2024,Prime Minister launches 2024 Papua New Guinea Investment Week,https://www.postcourier.com.pg/prime-minister-launches-2024-papua-new-guinea-investment-week/
137,09/08/2024,"Eastern Highlands lettuce farmer, a major supplier for Lae",https://www.postcourier.com.pg/eastern-highlands-lettuce-farmer-a-major-supplier-for-lae/
138,08/08/2024,‘Technology advancement enabling safer mining activities’,https://www.postcourier.com.pg/technology-advancement-enabling-safer-mining-activities/
139,08/08/2024,Pan Aust Interplast surgical team delivers 17 surgeries,https://www.postcourier.com.pg/pan-aust-interplast-surgical-team-delivers-17-surgeries/
140,08/08/2024,Second geoscience conference under way,https://www.postcourier.com.pg/second-geoscience-conference-under-way/
141,08/08/2024,Fuel prices to go up by 1.1 per cent,https://www.postcourier.com.pg/fuel-prices-to-goup-by-1-1-per-cent/
142,07/08/2024,"Involvement in Geoscience not only an academic exercise, says Marape",https://www.postcourier.com.pg/involvement-in-geoscience-not-only-an-academic-exercise-says-marape/
143,07/08/2024,"Marape emphasizes need for sustainable, innovative approach in mineral extraction",https://www.postcourier.com.pg/marape-emphasizes-sustainable-innovative-approach-in-mineral-extraction/
144,07/08/2024,PNG CORE welcomes Geo Scan Australia Pacific as new member,https://www.postcourier.com.pg/png-core-welcomes-geo-scan-australia-pacific-as-new-member/
145,07/08/2024,BSP Executive Management Team changes,https://www.postcourier.com.pg/bsp-executive-management-team-changes/
146,07/08/2024,Geoscience Exploration and Extraction Conference commences,https://www.postcourier.com.pg/geoscience-exploration-and-extraction-conference-commences/
147,07/08/2024,UNDP and European Union Support Surunki Honey Project,https://www.postcourier.com.pg/undp-and-european-union-support-surunki-honey-project/
148,07/08/2024,PNG CORE visits PNG LNG project operator,https://www.postcourier.com.pg/png-core-visits-png-lng-project-operator/
149,07/08/2024,Consultations on digital micro-pension inclusion in PNG discussed,https://www.postcourier.com.pg/consultations-on-digital-micro-pension-inclusion-in-png-discussed/
150,07/08/2024,"Local Bank partners in marine conservation, community development",https://www.postcourier.com.pg/local-bank-partners-in-marine-conservation-community-development/
151,07/08/2024,"Kokopo to see major infrastructure developments, says MP",https://www.postcourier.com.pg/kokopo-to-see-major-infrastructure-developments-says-mp/
152,07/08/2024,Member speaks of financial growth since joining NCSL,https://www.postcourier.com.pg/member-speaks-of-financial-growth-since-joing-ncsl/
153,06/08/2024,Superannuation and Insurance cover expands to MSME and self-employed workers in PNG,https://www.postcourier.com.pg/superannuation-and-insurance-cover-expands-to-self-employed-workers-in-png/
154,06/08/2024,"New Group CPL CEO to be appointed in the next few months, says Sir Mahesh",https://www.postcourier.com.pg/new-group-cpl-ceo-to-be-appointed-in-the-next-few-months-says-sir-mahesh/
155,06/08/2024,New Lease of life for Wariman,https://www.postcourier.com.pg/new-lease-of-life-for-wariman/
156,06/08/2024,"TISA, Credit Corp given banking licence by BPNG",https://www.postcourier.com.pg/tisa-credit-corp-given-banking-licence-by-bpng/
157,06/08/2024,BSP supports Sepik river and crocodile arts festival,https://www.postcourier.com.pg/bsp-supports-sepik-river-and-crocodile-arts-festival-2/
158,06/08/2024,New look Pepsi set to hit markets later in the year,https://www.postcourier.com.pg/new-look-pepsi-set-to-hit-markets-later-in-the-year/
159,05/08/2024,A dream realised for Credit Corp to be a Bank,https://www.postcourier.com.pg/a-dream-realised-for-credit-corp-to-be-a-bank/
160,05/08/2024,BPNG makes history giving license to two banks in same day,https://www.postcourier.com.pg/bpng-makes-history-giving-license-to-two-banks-in-same-day/
161,05/08/2024,OTML ITCS Road Project to connect Western Province to Indonesia,https://www.postcourier.com.pg/otml-itcs-road-project-to-connect-western-province-to-indonesia/
162,05/08/2024,"Transparency International PNG raises K240,500 in successful Sir Anthony Siaguru Walk Against Corruption",https://www.postcourier.com.pg/transparency-international-png-raises-k240500-in-successful-sir-anthony-siaguru-walk-against-corruption/
163,05/08/2024,Two new banks enters market,https://www.postcourier.com.pg/two-new-banks-enters-market/
164,05/08/2024,FAO workshop on importance of animal health,https://www.postcourier.com.pg/fao-workshop-on-importance-of-animal-health/
165,05/08/2024,Employment set for maritime college students,https://www.postcourier.com.pg/employment-set-for-maritime-college-students/
166,05/08/2024,Marape presents K50m IDG to Wafi-Golpu landowners,https://www.postcourier.com.pg/507451-2/
167,04/08/2024,"Local business receives K98,000 support from government",https://www.postcourier.com.pg/local-business-receives-k98000-support-from-government/
168,04/08/2024,Government offers second phase of support to businesses affected by January riots,https://www.postcourier.com.pg/govt-offers-second-phase-of-support-to-businesses-affected-by-january-riots/
169,04/08/2024,CPL group receive K16.1 million support from Government,https://www.postcourier.com.pg/cpl-group-receive-k16-1-million-support-from-government/
170,04/08/2024,BSP supports Sepik river and crocodile arts festival,https://www.postcourier.com.pg/bsp-supports-sepik-river-and-crocodile-arts-festival/
171,04/08/2024,Prime Minister Marape announces Progress in Finalising Wafi-Golpu Mine Development,https://www.postcourier.com.pg/prime-minister-marape-announces-progress-in-finalising-wafi-golpu-mine-development/
172,03/08/2024,Rainbow residents happy for new Rainbow SNS,https://www.postcourier.com.pg/rainbow-residents-happy-for-new-rainbow-sns/
173,03/08/2024,Stop & Shop Rainbow reopens,https://www.postcourier.com.pg/stop-and-shop-rainbow-reopens/
174,02/08/2024,Migalsim Elementary School receive classrooms,https://www.postcourier.com.pg/migalsim-elementary-school-receive-classrooms/
175,02/08/2024,Air Niugini staff meet retired American astronaut,https://www.postcourier.com.pg/air-niugini-staff-meet-retired-american-astronaut/
176,02/08/2024,ANZ team take part in clean-up,https://www.postcourier.com.pg/anz-team-take-part-in-clean-up/
177,02/08/2024,City Authority to set up business loyalty program,https://www.postcourier.com.pg/city-authority-to-set-up-business-loyalty-program/
178,02/08/2024,Cabinet approves two-phase development for PMIZ,https://www.postcourier.com.pg/cabinet-approves-two-phase-development-for-pmiz/
179,02/08/2024,Mine provides geotech training for staff,https://www.postcourier.com.pg/mine-provides-geotech-training-for-staff/
180,02/08/2024,Air Niugini resumes fokker flights to Tokua,https://www.postcourier.com.pg/air-niugini-resumes-fokker-flights-to-tokua/
181,02/08/2024,Water treatment plant vital for consumption,https://www.postcourier.com.pg/water-treament-plant-vital-for-consumption/
182,01/08/2024,BSP is official sponsor of 2024 Commonwealth Business Forum,https://www.postcourier.com.pg/bsp-is-official-sponsor-of-2024-commonwealth-business-forum/
183,01/08/2024,Single window system to transform business,https://www.postcourier.com.pg/single-window-system-to-transform-business/
184,01/08/2024,"High cost of data, internet services affecting businesses",https://www.postcourier.com.pg/high-cost-of-data-internet-services-affecting-businesses/
185,01/08/2024,Commodity prices remain strong,https://www.postcourier.com.pg/commodity-prices-remain-strong/
186,01/08/2024,Kina to fall by 8.5 per cent annually,https://www.postcourier.com.pg/kina-to-fall-by-8-5-per-cent-annually/
187,01/08/2024,BSP: Businesses affected by Black Wednesday,https://www.postcourier.com.pg/bsp-businesses-affected-by-black-wednesday/
188,31/07/2024,Marape thanks Paradise Food’s contribution in the economy,https://www.postcourier.com.pg/marape-thanks-paradise-foods-contribution-in-the-economy/
189,31/07/2024,PNG Customs opts into automated trade process,https://www.postcourier.com.pg/png-customs-opts-into-automated-trade-process/
190,31/07/2024,2024 Business Regulators Summit Day 2 underway,https://www.postcourier.com.pg/2024-business-regulators-summit-day-2-underway/
191,31/07/2024,Biscuit for the people,https://www.postcourier.com.pg/biscuit-for-the-people/
192,31/07/2024,Newmont Corporation: The importance of credible investors for sustainable exploration and extraction efforts,https://www.postcourier.com.pg/newmont-corporation-the-importance-of-credible-investors-for-sustainable-exploration-and-extraction-efforts/
193,31/07/2024,Cocoa production drops significantly,https://www.postcourier.com.pg/cocoa-production-drops-significantly/
194,31/07/2024,Masiu: Business Regulators Summit a vital step towards digital transformation,https://www.postcourier.com.pg/masiu-business-regulators-summit-a-vital-step-towards-digital-transformation/
195,31/07/2024,Buskens: PNG sees improvement in the ease of doing business,https://www.postcourier.com.pg/buskens-png-sees-improvement-in-the-ease-of-doing-business/
196,31/07/2024,"China is PNG’s biggest export market, says Maru",https://www.postcourier.com.pg/china-is-pngs-biggest-export-market-says-maru/
197,31/07/2024,Farmers receive much-needed training to boost cocoa production,https://www.postcourier.com.pg/farmers-receive-much-needed-training-to-boost-cocoa-production/
198,31/07/2024,Regulators urged to improve business regulatory process,https://www.postcourier.com.pg/regulators-urged-to-improve-business-regulatory-process/
199,31/07/2024,PM Marape to launch Paradise Foods Limited’s new product,https://www.postcourier.com.pg/pm-marape-to-launch-paradise-foods-limiteds-new-product/
200,31/07/2024,Balsa to generate more than K6.5m for university,https://www.postcourier.com.pg/balsa-to-generate-more-than-k6-5m-for-university/
201,30/07/2024,Rising commodity prices highlight agricultural sector potential,https://www.postcourier.com.pg/rising-commodity-prices-highlight-agricultural-sector-potential/
202,30/07/2024,Climate Change completes three day workshop,https://www.postcourier.com.pg/climate-change-completes-three-day-workshop/
203,30/07/2024,Madang first in the Momase to sign MoU with CEFI,https://www.postcourier.com.pg/madang-first-in-the-momase-to-sign-mou-with-cefi/
204,30/07/2024,ANZ promotes sustainable development in PNG,https://www.postcourier.com.pg/anz-promotes-sustainable-development-in-png/
